Domain,Domain_gene_counts,AA_C,AA_H,AA_N,AA_O,AA_S,GC_adj
 ,889.8488999999998,689263.4736999997,1370503.9692999981,189248.37110000005,337079.03499999986,4056.206400000003,0.5724196471591474
 Archaea,2352.359400000002,1936867.6259000003,3855615.1889999965,547168.8884000003,961841.4692000004,11167.614200000002,0.6132248243342547
 Bacteria,1125968.0343000053,885654658.8640928,1768914298.3476105,251436308.8701992,440273075.4440064,5481580.224799925,0.6284617339522562
 Duplodnaviria,317.10469999999987,307152.2128999999,608266.4456,86425.63699999996,153682.33270000003,2156.7948999999994,0.5417951249329823
 Eukaryota,7714.365699999985,5899163.095799984,11653543.60100003,1601937.4445999993,2875907.4851000006,36426.99210000003,0.5171946650623855
 Monodnaviria,10.8362,19071.712,38100.0792,5959.91,9167.4252,86.6896,0.778
 Riboviria,34.760600000000004,40962.629,81800.88269999999,11184.5503,19484.9771,153.69920000000002,0.6729594451111551
 Varidnaviria,16.482999999999997,6662.7929,13295.9569,1988.5017000000003,3205.0889,51.8629,0.569274297842598
 unclassified viruses,31.023,26749.8761,53081.4442,7447.6326,13754.9959,126.473,0.5751618396901659
Unclassified,209518.02579999962,92909979.75629948,186610166.63530028,26640234.890899904,46502509.60070006,622905.1992999978,0.6116201357891798
