"domainID","siteID","nlcdClass","n"
"D02","SCBI","deciduousForest",24
"D06","UKFS","deciduousForest",12
"D07","ORNL","deciduousForest",12
"D10","CPER","grasslandHerbaceous",12
"D17","SJER","grasslandHerbaceous",12
"D02","BLAN","deciduousForest",9
"D07","GRSM","deciduousForest",9
"D09","WOOD","grasslandHerbaceous",9
"D17","SJER","evergreenForest",9
"D05","STEI","deciduousForest",8
"D13","NIWO","evergreenForest",8
"D18","TOOL","dwarfScrub",7
"D02","BLAN","cultivatedCrops",6
"D02","SCBI","pastureHay",6
"D06","KONZ","grasslandHerbaceous",6
"D08","TALL","evergreenForest",4
"D01","HARV","deciduousForest",3
"D02","BLAN","pastureHay",3
"D02","BLAN","shrubScrub",3
"D03","OSBS","evergreenForest",3
"D04","GUAN","evergreenForest",3
"D05","TREE","woodyWetlands",3
"D07","GRSM","evergreenForest",3
"D08","DELA","woodyWetlands",3
"D08","LENO","woodyWetlands",3
"D10","RMNP","evergreenForest",3
"D11","CLBJ","grasslandHerbaceous",3
"D11","OAES","shrubScrub",3
"D15","ONAQ","evergreenForest",3
"D15","ONAQ","shrubScrub",3
"D18","TOOL","sedgeHerbaceous",3
"D19","DEJU","evergreenForest",3
"D19","DEJU","woodyWetlands",3
"D19","HEAL","dwarfScrub",3
"D19","HEAL","shrubScrub",3
"D08","TALL","deciduousForest",2
"D16","WREF","evergreenForest",2
